All KEYS::
Value of State: 21, 50,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 44,  Action: 0, 0, 0,  is: 0.0
